,artist_name,genre,artist_popularity,artist_uri,artist_img
0,Bad Snacks,['downtempo bass'],35,spotify:artist:5gZDpKtrxDf0ULvDuhLMZy,https://i.scdn.co/image/ab6761610000e5eb944ec32789c406c916d362cc
1,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",82,spotify:artist:4LLpKhyESsyAXpc4laK94U,https://i.scdn.co/image/ab6761610000e5ebed3b89aa602145fde71a163a
2,FKJ,"['filter house', 'indie soul']",68,spotify:artist:2FwDTncULUnmANIh7qKa5z,https://i.scdn.co/image/ab6761610000e5ebc4c41d37f585a40f8a601bf7
3,Logic,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",77,spotify:artist:4xRYI6VqpkE3UwrDrAZL8L,https://i.scdn.co/image/ab6761610000e5ebc0f43abdba90d508842d7367
4,Dance Gavin Dance,"['metalcore', 'pixie', 'sacramento indie', 'screamo', 'swancore']",63,spotify:artist:6guC9FqvlVboSKTI77NG2k,https://i.scdn.co/image/ab6761610000e5eb7ab31728854684433fe3dc64
5,Anderson .Paak,['escape room'],77,spotify:artist:3jK9MiCrA42lLAdMGUZpwa,https://i.scdn.co/image/ab6761610000e5eb96287bd47570ff13f0c01496
6,Still Woozy,"['bedroom pop', 'oakland indie']",67,spotify:artist:4iMO20EPodreIaEl8qW66y,https://i.scdn.co/image/ab6761610000e5eb213487aac43637b03baf9db8
7,Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",89,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,https://i.scdn.co/image/ab6761610000e5eb437b9e2a82505b3d93ff1022
8,Young the Giant,"['modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp and holler']",65,spotify:artist:4j56EQDQu5XnL7R3E9iFJT,https://i.scdn.co/image/ab6761610000e5ebfab5c5df9849fd0f7cf376ce
9,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",95,spotify:artist:3TVXtAsR1Inumwj472S9r4,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9
10,From Indian Lakes,"['dreamo', 'progressive post-hardcore']",41,spotify:artist:3YvQkjWJ5ykJVUNP7YbTy9,https://i.scdn.co/image/ab6761610000e5eb0624f810e5a944440db1d6cd
11,Polyphia,['instrumental rock'],61,spotify:artist:4vGrte8FDu062Ntj0RsPiZ,https://i.scdn.co/image/ab6761610000e5ebf118bd73da69b2459710fb83
12,J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",84,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,https://i.scdn.co/image/ab6761610000e5ebadd503b411a712e277895c8a
13,Cordae,"['dmv rap', 'hip hop', 'rap', 'trap']",67,spotify:artist:0huGjMyP507tBCARyzSkrv,https://i.scdn.co/image/ab6761610000e5eb0bebdba309a2cf06bc38addb
14,Banes World,"['bedroom pop', 'indie garage rock']",51,spotify:artist:5BCnLrqpwYtufR1bDWn0hG,https://i.scdn.co/image/ab6761610000e5eb7485edfe3f876af76f207838
15,Chon,"['djent', 'instrumental math rock', 'instrumental rock', 'progressive jazz fusion', 'san diego indie']",48,spotify:artist:2JFljHPanIjYy2QqfNYvC0,https://i.scdn.co/image/ab6761610000e5eb77585e787d20e88c7e5fbc8c
16,Mac DeMarco,"['edmonton indie', 'lo-fi indie']",75,spotify:artist:3Sz7ZnJQBIHsXLUSo0OQtM,https://i.scdn.co/image/ab6761610000e5ebc7a7b191db13668f1a6d863d
17,WESTSIDE BOOGIE,"['hip hop', 'rap', 'underground hip hop']",61,spotify:artist:5usbqiU7sjvszjWecANDL6,https://i.scdn.co/image/ab6761610000e5eb91ddb9259985ccc7361452e4
18,Zoology,['vapor soul'],26,spotify:artist:3V1zHjaKSXKbaOEGNHjuPO,https://i.scdn.co/image/ab6761610000e5eb341c6810a929a2fc4c8ff307
19,Masego,[],67,spotify:artist:3ycxRkcZ67ALN3GQJ57Vig,https://i.scdn.co/image/ab6761610000e5eb56288d938ef220c23caf2f63
20,Childish Gambino,"['atl hip hop', 'hip hop', 'rap']",77,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL,https://i.scdn.co/image/ab6761610000e5eb3ef779aa0d271adb2b6a3ded
21,Yuno,"['gamecore', 'jacksonville indie']",45,spotify:artist:36BjLtXEXIifbRrfc1Rtqa,https://i.scdn.co/image/ab6761610000e5eb6ea4e45ec50d287024da4327
22,Beau Diako,"['alternative r&b', 'chill r&b', 'indie r&b']",43,spotify:artist:3W02sTifN8tW1bapAkS1hu,https://i.scdn.co/image/ab6761610000e5eb345c4f5660d49493fc3825a2
23,Jack Harlow,"['deep underground hip hop', 'kentucky hip hop', 'rap']",85,spotify:artist:2LIk90788K0zvyj2JJVwkJ,https://i.scdn.co/image/ab6761610000e5ebed3a04c76cbc92b97f59c3c0
24,slenderbodies,"['indie poptimism', 'indie soul', 'modern rock', 'vapor soul']",53,spotify:artist:3S4d3YRNGg2OhnNm3QvfhA,https://i.scdn.co/image/ab6761610000e5eba3b35e7d7f5c7a0ae7e43ff9
25,Eminem,"['detroit hip hop', 'hip hop', 'rap']",89,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b
26,vbnd,"['chill r&b', 'indie r&b', 'indie soul', 'vapor twitch']",44,spotify:artist:5KbEFz293OMDqqk9ajZKZV,https://i.scdn.co/image/ab6761610000e5eb76423edea5e10e37168c8a5a
27,Lucy Rose,"['ambient folk', 'british singer-songwriter', 'indie folk']",52,spotify:artist:2uvY5pgdD9t1CZ5zMNw1rl,https://i.scdn.co/image/ab6761610000e5ebb73ad2c05480a469dcc1cbc0
28,Mt. Joy,"['indie folk', 'modern rock', 'stomp and holler']",64,spotify:artist:69tiO1fG8VWduDl3ji2qhI,https://i.scdn.co/image/ab6761610000e5eb4e2d1bbef1d87e7f027d7e34
29,Wynne,['portland hip hop'],33,spotify:artist:3fhz0PcZrd3o3xB8APuoPX,https://i.scdn.co/image/ab6761610000e5eb9cbe3c0834a5ad1c9bd8c9fb
30,Chance the Rapper,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']",75,spotify:artist:1anyVhU62p31KFi8MEzkbf,https://i.scdn.co/image/ab6761610000e5ebef7b862a9407492169432f88
31,Anthony Green,"['dreamo', 'progressive post-hardcore']",41,spotify:artist:0hxmHf6CqXsOLWgGXjmr7I,https://i.scdn.co/image/ab6761610000e5ebaf729fcc7b1e19b271510973
32,Kid Cudi,"['hip hop', 'ohio hip hop', 'rap']",80,spotify:artist:0fA0VVWsXO9YnASrzqfmYu,https://i.scdn.co/image/ab6761610000e5eb876faa285687786c3d314ae0
33,Mk.gee,"['alternative r&b', 'indie soul', 'vapor soul']",48,spotify:artist:7tr9pbgNEKtG0GQTKe08Tz,https://i.scdn.co/image/ab6761610000e5eb534279327a1e5508769b296c
34,Crumb,"['indie garage rock', 'neo-psychedelic']",57,spotify:artist:4kSGbjWGxTchKpIxXPJv0B,https://i.scdn.co/image/ab6761610000e5ebc769a31c11e0977b87d812e9
35,Magic City Hippies,"['miami indie', 'modern rock', 'vapor soul']",53,spotify:artist:1ikg4sypcURm8Vy5GP68xb,https://i.scdn.co/image/ab6761610000e5eb6a73d931c5f35f92b6b844a5
36,Daniel Caesar,"['alternative r&b', 'canadian contemporary r&b', 'pop', 'r&b']",76,spotify:artist:20wkVLutqVOYrc0kxFs7rA,https://i.scdn.co/image/ab6761610000e5ebbd09edfd2babfc9fd2ba748e
37,Zunis,['tulsa indie'],0,spotify:artist:7h7rEAB8qqhCU3K6wyYZEB,https://i.scdn.co/image/ab6761610000e5eb440ad66858ef61ba8f0baca3
38,"Tyler, The Creator","['hip hop', 'rap']",84,spotify:artist:4V8LLVI7PbaPR0K2TGSxFF,https://i.scdn.co/image/ab6761610000e5eb8278b782cbb5a3963db88ada
39,CHIKA,"['alabama rap', 'alternative r&b']",47,spotify:artist:6UtYvUtXnmg5EtllDFlWp8,https://i.scdn.co/image/ab6761610000e5ebaf5155ec0096b1b14b09dcd6
40,Private Island,['vapor soul'],42,spotify:artist:21MZoYDTcbPsC5crOQVqho,https://i.scdn.co/image/ab6761610000e5eb6de18fa8b4ec65bc8a7a9f3a
41,Medasin,"['edm', 'electronic trap', 'future bass', 'vapor twitch']",54,spotify:artist:62vbsDRAq0qHdezaCOzB0T,https://i.scdn.co/image/ab6761610000e5ebc6dfa34f54d9a599818f9e7c
42,Free Nationals,"['alternative r&b', 'indie soul']",61,spotify:artist:4596e2d3KmYzAeVenjCxfj,https://i.scdn.co/image/ab6761610000e5eb98bcf91183b8a28e6dd029d3
43,The Backseat Lovers,"['modern rock', 'slc indie']",64,spotify:artist:6p2HnfM955TI1bX34dkLnI,https://i.scdn.co/image/ab6761610000e5eb5732f4f88714a78b809aab56
44,Cautious Clay,"['alternative r&b', 'indie r&b', 'nyc pop']",58,spotify:artist:6iWuBN32BqCJAeXW6o3nil,https://i.scdn.co/image/ab6761610000e5ebfeb379d590ffd6b773d7c591
45,Lupe Fiasco,"['chicago rap', 'conscious hip hop', 'gangster rap', 'hip hop', 'political hip hop', 'pop rap', 'rap', 'southern hip hop']",66,spotify:artist:01QTIT5P1pFP3QnnFSdsJf,https://i.scdn.co/image/ab6761610000e5eb17e0a43f3aaa0c48410c4b68
46,Bad Suns,"['indie poptimism', 'la indie', 'modern alternative rock', 'modern rock', 'pop rock']",59,spotify:artist:0YhUSm86okLWldQVwJkLlP,https://i.scdn.co/image/ab6761610000e5eb6c81985ab688765564a3cc7b
47,Louis The Child,"['edm', 'electro house', 'electropop', 'pop', 'pop dance', 'tropical house']",64,spotify:artist:7wg1qvie3KqDNQbAkTdbX0,https://i.scdn.co/image/ab6761610000e5eb5d269b3556a64364a5f04696
48,GoldLink,"['alternative r&b', 'dmv rap', 'hip hop', 'r&b', 'rap', 'underground hip hop']",64,spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ,https://i.scdn.co/image/337c0f44dae54bf2e2dbea22c4a6901a3055ad27
49,A Day To Remember,"['metalcore', 'pop punk', 'screamo']",67,spotify:artist:4NiJW4q9ichVqL1aUsgGAN,https://i.scdn.co/image/ab6761610000e5ebd68cc4a136f816a999500f0d
